date,date,value
1970-01-01 00:00:00.000000300,1999-06-01,166.2
1970-01-01 00:00:00.000000301,1999-05-01,166.2
1970-01-01 00:00:00.000000302,1999-04-01,166.2
1970-01-01 00:00:00.000000303,1999-03-01,165.0
1970-01-01 00:00:00.000000304,1999-02-01,164.5
1970-01-01 00:00:00.000000305,1999-01-01,164.3
1970-01-01 00:00:00.000000306,1998-12-01,163.9
1970-01-01 00:00:00.000000307,1998-11-01,164.0
1970-01-01 00:00:00.000000308,1998-10-01,164.0
1970-01-01 00:00:00.000000309,1998-09-01,163.6
1970-01-01 00:00:00.000000310,1998-08-01,163.4
1970-01-01 00:00:00.000000311,1998-07-01,163.2
1970-01-01 00:00:00.000000312,1998-06-01,163.0
1970-01-01 00:00:00.000000313,1998-05-01,162.8
1970-01-01 00:00:00.000000314,1998-04-01,162.5
1970-01-01 00:00:00.000000315,1998-03-01,162.2
1970-01-01 00:00:00.000000316,1998-02-01,161.9
1970-01-01 00:00:00.000000317,1998-01-01,161.6
1970-01-01 00:00:00.000000318,1997-12-01,161.3
1970-01-01 00:00:00.000000319,1997-11-01,161.5
1970-01-01 00:00:00.000000320,1997-10-01,161.6
1970-01-01 00:00:00.000000321,1997-09-01,161.2
1970-01-01 00:00:00.000000322,1997-08-01,160.8
1970-01-01 00:00:00.000000323,1997-07-01,160.5
1970-01-01 00:00:00.000000324,1997-06-01,160.3
1970-01-01 00:00:00.000000325,1997-05-01,160.1
1970-01-01 00:00:00.000000326,1997-04-01,160.2
1970-01-01 00:00:00.000000327,1997-03-01,160.0
1970-01-01 00:00:00.000000328,1997-02-01,159.6
1970-01-01 00:00:00.000000329,1997-01-01,159.1
1970-01-01 00:00:00.000000330,1996-12-01,158.6
1970-01-01 00:00:00.000000331,1996-11-01,158.6
1970-01-01 00:00:00.000000332,1996-10-01,158.3
1970-01-01 00:00:00.000000333,1996-09-01,157.8
1970-01-01 00:00:00.000000334,1996-08-01,157.3
1970-01-01 00:00:00.000000335,1996-07-01,157.0
1970-01-01 00:00:00.000000336,1996-06-01,156.7
1970-01-01 00:00:00.000000337,1996-05-01,156.6
1970-01-01 00:00:00.000000338,1996-04-01,156.3
1970-01-01 00:00:00.000000339,1996-03-01,155.7
1970-01-01 00:00:00.000000340,1996-02-01,154.9
1970-01-01 00:00:00.000000341,1996-01-01,154.4
1970-01-01 00:00:00.000000342,1995-12-01,153.5
1970-01-01 00:00:00.000000343,1995-11-01,153.6
1970-01-01 00:00:00.000000344,1995-10-01,153.7
1970-01-01 00:00:00.000000345,1995-09-01,153.2
1970-01-01 00:00:00.000000346,1995-08-01,152.9
1970-01-01 00:00:00.000000347,1995-07-01,152.5
1970-01-01 00:00:00.000000348,1995-06-01,152.5
1970-01-01 00:00:00.000000349,1995-05-01,152.2
1970-01-01 00:00:00.000000350,1995-04-01,151.9
1970-01-01 00:00:00.000000351,1995-03-01,151.4
1970-01-01 00:00:00.000000352,1995-02-01,150.9
1970-01-01 00:00:00.000000353,1995-01-01,150.3
1970-01-01 00:00:00.000000354,1994-12-01,149.7
1970-01-01 00:00:00.000000355,1994-11-01,149.7
1970-01-01 00:00:00.000000356,1994-10-01,149.5
1970-01-01 00:00:00.000000357,1994-09-01,149.4
1970-01-01 00:00:00.000000358,1994-08-01,149.0
1970-01-01 00:00:00.000000359,1994-07-01,148.4
1970-01-01 00:00:00.000000360,1994-06-01,148.0
1970-01-01 00:00:00.000000361,1994-05-01,147.5
1970-01-01 00:00:00.000000362,1994-04-01,147.4
1970-01-01 00:00:00.000000363,1994-03-01,147.2
1970-01-01 00:00:00.000000364,1994-02-01,146.7
1970-01-01 00:00:00.000000365,1994-01-01,146.2
1970-01-01 00:00:00.000000366,1993-12-01,145.8
1970-01-01 00:00:00.000000367,1993-11-01,145.8
1970-01-01 00:00:00.000000368,1993-10-01,145.7
1970-01-01 00:00:00.000000369,1993-09-01,145.1
1970-01-01 00:00:00.000000370,1993-08-01,144.8
1970-01-01 00:00:00.000000371,1993-07-01,144.4
1970-01-01 00:00:00.000000372,1993-06-01,144.4
1970-01-01 00:00:00.000000373,1993-05-01,144.2
1970-01-01 00:00:00.000000374,1993-04-01,144.0
1970-01-01 00:00:00.000000375,1993-03-01,143.6
1970-01-01 00:00:00.000000376,1993-02-01,143.1
1970-01-01 00:00:00.000000377,1993-01-01,142.6
1970-01-01 00:00:00.000000378,1992-12-01,141.9
1970-01-01 00:00:00.000000379,1992-11-01,142.0
1970-01-01 00:00:00.000000380,1992-10-01,141.8
1970-01-01 00:00:00.000000381,1992-09-01,141.3
1970-01-01 00:00:00.000000382,1992-08-01,140.9
1970-01-01 00:00:00.000000383,1992-07-01,140.5
1970-01-01 00:00:00.000000384,1992-06-01,140.2
1970-01-01 00:00:00.000000385,1992-05-01,139.7
1970-01-01 00:00:00.000000386,1992-04-01,139.5
1970-01-01 00:00:00.000000387,1992-03-01,139.3
1970-01-01 00:00:00.000000388,1992-02-01,138.6
1970-01-01 00:00:00.000000389,1992-01-01,138.1
1970-01-01 00:00:00.000000390,1991-12-01,137.9
1970-01-01 00:00:00.000000391,1991-11-01,137.8
1970-01-01 00:00:00.000000392,1991-10-01,137.4
1970-01-01 00:00:00.000000393,1991-09-01,137.2
1970-01-01 00:00:00.000000394,1991-08-01,136.6
1970-01-01 00:00:00.000000395,1991-07-01,136.2
1970-01-01 00:00:00.000000396,1991-06-01,136.0
1970-01-01 00:00:00.000000397,1991-05-01,135.6
1970-01-01 00:00:00.000000398,1991-04-01,135.2
1970-01-01 00:00:00.000000399,1991-03-01,135.0
1970-01-01 00:00:00.000000400,1991-02-01,134.8
1970-01-01 00:00:00.000000401,1991-01-01,134.6
1970-01-01 00:00:00.000000402,1990-12-01,133.8
1970-01-01 00:00:00.000000403,1990-11-01,133.8
1970-01-01 00:00:00.000000404,1990-10-01,133.5
1970-01-01 00:00:00.000000405,1990-09-01,132.7
1970-01-01 00:00:00.000000406,1990-08-01,131.6
1970-01-01 00:00:00.000000407,1990-07-01,130.4
1970-01-01 00:00:00.000000408,1990-06-01,129.9
1970-01-01 00:00:00.000000409,1990-05-01,129.2
1970-01-01 00:00:00.000000410,1990-04-01,128.9
