date,date,value
1970-01-01 00:00:00.000000369,1993-10-01,5.33
1970-01-01 00:00:00.000000370,1993-09-01,5.36
1970-01-01 00:00:00.000000371,1993-08-01,5.68
1970-01-01 00:00:00.000000372,1993-07-01,5.81
1970-01-01 00:00:00.000000373,1993-06-01,5.96
1970-01-01 00:00:00.000000374,1993-05-01,6.04
1970-01-01 00:00:00.000000375,1993-04-01,5.97
1970-01-01 00:00:00.000000376,1993-03-01,5.98
1970-01-01 00:00:00.000000377,1993-02-01,6.26
1970-01-01 00:00:00.000000378,1993-01-01,6.60
1970-01-01 00:00:00.000000379,1992-12-01,6.77
1970-01-01 00:00:00.000000380,1992-11-01,6.87
1970-01-01 00:00:00.000000381,1992-10-01,6.59
1970-01-01 00:00:00.000000382,1992-09-01,6.42
1970-01-01 00:00:00.000000383,1992-08-01,6.59
1970-01-01 00:00:00.000000384,1992-07-01,6.84
1970-01-01 00:00:00.000000385,1992-06-01,7.26
1970-01-01 00:00:00.000000386,1992-05-01,7.39
1970-01-01 00:00:00.000000387,1992-04-01,7.48
1970-01-01 00:00:00.000000388,1992-03-01,7.54
1970-01-01 00:00:00.000000389,1992-02-01,7.34
1970-01-01 00:00:00.000000390,1992-01-01,7.03
1970-01-01 00:00:00.000000391,1991-12-01,7.09
1970-01-01 00:00:00.000000392,1991-11-01,7.42
1970-01-01 00:00:00.000000393,1991-10-01,7.53
1970-01-01 00:00:00.000000394,1991-09-01,7.65
1970-01-01 00:00:00.000000395,1991-08-01,7.90
1970-01-01 00:00:00.000000396,1991-07-01,8.27
1970-01-01 00:00:00.000000397,1991-06-01,8.28
1970-01-01 00:00:00.000000398,1991-05-01,8.07
1970-01-01 00:00:00.000000399,1991-04-01,8.04
1970-01-01 00:00:00.000000400,1991-03-01,8.11
1970-01-01 00:00:00.000000401,1991-02-01,7.85
1970-01-01 00:00:00.000000402,1991-01-01,8.09
1970-01-01 00:00:00.000000403,1990-12-01,8.08
1970-01-01 00:00:00.000000404,1990-11-01,8.39
1970-01-01 00:00:00.000000405,1990-10-01,8.72
1970-01-01 00:00:00.000000406,1990-09-01,8.89
1970-01-01 00:00:00.000000407,1990-08-01,8.75
1970-01-01 00:00:00.000000408,1990-07-01,8.47
1970-01-01 00:00:00.000000409,1990-06-01,8.48
1970-01-01 00:00:00.000000410,1990-05-01,8.76
1970-01-01 00:00:00.000000411,1990-04-01,8.79
1970-01-01 00:00:00.000000412,1990-03-01,8.59
1970-01-01 00:00:00.000000413,1990-02-01,8.47
1970-01-01 00:00:00.000000414,1990-01-01,8.21
1970-01-01 00:00:00.000000415,1989-12-01,7.84
1970-01-01 00:00:00.000000416,1989-11-01,7.87
1970-01-01 00:00:00.000000417,1989-10-01,8.01
1970-01-01 00:00:00.000000418,1989-09-01,8.19
1970-01-01 00:00:00.000000419,1989-08-01,8.11
1970-01-01 00:00:00.000000420,1989-07-01,8.02
1970-01-01 00:00:00.000000421,1989-06-01,8.28
1970-01-01 00:00:00.000000422,1989-05-01,8.86
1970-01-01 00:00:00.000000423,1989-04-01,9.18
1970-01-01 00:00:00.000000424,1989-03-01,9.36
1970-01-01 00:00:00.000000425,1989-02-01,9.17
1970-01-01 00:00:00.000000426,1989-01-01,9.09
1970-01-01 00:00:00.000000427,1988-12-01,9.11
1970-01-01 00:00:00.000000428,1988-11-01,8.96
1970-01-01 00:00:00.000000429,1988-10-01,8.80
1970-01-01 00:00:00.000000430,1988-09-01,8.98
1970-01-01 00:00:00.000000431,1988-08-01,9.26
1970-01-01 00:00:00.000000432,1988-07-01,9.06
1970-01-01 00:00:00.000000433,1988-06-01,8.92
1970-01-01 00:00:00.000000434,1988-05-01,9.09
1970-01-01 00:00:00.000000435,1988-04-01,8.72
1970-01-01 00:00:00.000000436,1988-03-01,8.37
1970-01-01 00:00:00.000000437,1988-02-01,8.21
1970-01-01 00:00:00.000000438,1988-01-01,8.67
1970-01-01 00:00:00.000000439,1987-12-01,8.99
1970-01-01 00:00:00.000000440,1987-11-01,8.86
1970-01-01 00:00:00.000000441,1987-10-01,9.52
1970-01-01 00:00:00.000000442,1987-09-01,9.42
1970-01-01 00:00:00.000000443,1987-08-01,8.76
1970-01-01 00:00:00.000000444,1987-07-01,8.45
1970-01-01 00:00:00.000000445,1987-06-01,8.40
1970-01-01 00:00:00.000000446,1987-05-01,8.61
1970-01-01 00:00:00.000000447,1987-04-01,8.02
1970-01-01 00:00:00.000000448,1987-03-01,7.25
1970-01-01 00:00:00.000000449,1987-02-01,7.25
1970-01-01 00:00:00.000000450,1987-01-01,7.08
1970-01-01 00:00:00.000000451,1986-12-01,7.11
1970-01-01 00:00:00.000000452,1986-11-01,7.25
1970-01-01 00:00:00.000000453,1986-10-01,7.43
1970-01-01 00:00:00.000000454,1986-09-01,7.45
1970-01-01 00:00:00.000000455,1986-08-01,7.17
1970-01-01 00:00:00.000000456,1986-07-01,7.30
1970-01-01 00:00:00.000000457,1986-06-01,7.80
1970-01-01 00:00:00.000000458,1986-05-01,7.71
1970-01-01 00:00:00.000000459,1986-04-01,7.30
1970-01-01 00:00:00.000000460,1986-03-01,7.78
1970-01-01 00:00:00.000000461,1986-02-01,8.70
1970-01-01 00:00:00.000000462,1986-01-01,9.19
1970-01-01 00:00:00.000000463,1985-12-01,9.26
1970-01-01 00:00:00.000000464,1985-11-01,9.78
1970-01-01 00:00:00.000000465,1985-10-01,10.24
1970-01-01 00:00:00.000000466,1985-09-01,10.37
1970-01-01 00:00:00.000000467,1985-08-01,10.33
1970-01-01 00:00:00.000000468,1985-07-01,10.31
1970-01-01 00:00:00.000000469,1985-06-01,10.16
1970-01-01 00:00:00.000000470,1985-05-01,10.85
1970-01-01 00:00:00.000000471,1985-04-01,11.43
1970-01-01 00:00:00.000000472,1985-03-01,11.86
1970-01-01 00:00:00.000000473,1985-02-01,11.51
