date,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2017-06-30,USD,17149000000,25605000000,8456000000,22227000000,7682000000,5711000000,3514000000,10131000000,403000000,-655000000,None,655000000,25605000000,-24000000,None,600000000,7958000000,-111000000,655000000,5330000000,7855000000,8613000000,9213000000,8069000000,250312000000,162696000000,7663000000,132981000000,2181000000,19792000000,81235000000,23734000000,24179000000,45228000000,10106000000,35122000000,139004000000,6023000000,125318000000,5103000000,6076000000,162601000000,55745000000,7390000000,26656000000,10121000000,9072000000,117665000000,None,77100000000,1049000000,76073000000,86172000000,7684000000,3549000000,87711000000,None,17769000000,69315000000,7708000000,11005000000,1665000000,None,26515000000,6567000000,6700000000,2283000000,6875000000,199000000,5330000000,-7369000000,-2701000000,3484000000,1765000000,1765000000,None,3009000000,3009000000,None,221000000,None,None,-1544000000,None,950000000,15000000,2017-07-20,0.98,0.71,0.27,38.0282,post-market
2017-03-31,USD,15152000000,23212000000,8060000000,3075000000,6723000000,5081000000,3355000000,8996000000,380000000,-609000000,None,609000000,-200000000,-40000000,None,560000000,7094000000,1608000000,609000000,4801000000,5675000000,7703000000,8263000000,5486000000,225017000000,146313000000,6713000000,126018000000,1979000000,12882000000,78704000000,21962000000,22992000000,45215000000,10547000000,34668000000,133399000000,7381000000,119305000000,5434000000,4146000000,155288000000,52005000000,6217000000,35733000000,7786000000,7187000000,117683000000,None,76800000000,599000000,76222000000,83987000000,6025000000,17381000000,83491000000,None,531000000,68554000000,7723000000,10660000000,118000000,None,17411000000,-1420000000,560000000,1695000000,-1487000000,16000000,4801000000,-6191000000,-6236000000,-1302000000,2062000000,2062000000,None,3012000000,3012000000,None,179000000,None,None,-1883000000,None,-1755000000,12000000,2017-04-27,0.73,0.7,0.03,4.2857,post-market
2016-12-31,USD,15925000000,25826000000,9901000000,5378000000,7905000000,4950000000,3062000000,8327000000,311000000,-521000000,None,521000000,-128000000,-172000000,None,315000000,8022000000,1755000000,521000000,5200000000,4961000000,8543000000,8858000000,6267000000,224610000000,144949000000,8468000000,122781000000,1961000000,14343000000,79661000000,21379000000,21888000000,45525000000,11001000000,34524000000,131667000000,8912000000,114313000000,5864000000,3845000000,155801000000,70787000000,6580000000,34680000000,25664000000,25065000000,98314000000,None,59900000000,599000000,59306000000,84965000000,6688000000,15980000000,81829000000,None,120000000000,68177000000,7730000000,6293000000,109000000,None,13557000000,513000000,315000000,1988000000,2711000000,-1132000000,5200000000,-14751000000,3016000000,-3755000000,3599000000,3599000000,None,3024000000,3024000000,None,131000000,None,None,-3468000000,None,-5460000000,-18000000,2017-01-26,0.84,0.79,0.05,6.3291,post-market
2016-09-30,USD,14084000000,21928000000,7844000000,3581000000,6715000000,4278000000,3106000000,7598000000,293000000,-437000000,None,437000000,-146000000,-15000000,None,214000000,6827000000,1160000000,437000000,4690000000,5831000000,7264000000,7478000000,5667000000,212524000000,157909000000,13928000000,136932000000,3122000000,11129000000,54615000000,19224000000,20885000000,21429000000,3522000000,17907000000,147392000000,10486000000,123004000000,6726000000,3476000000,142152000000,58810000000,6296000000,33588000000,14536000000,14536000000,95642000000,None,60200000000,14536000000,60154000000,74736000000,7123000000,14340000000,82462000000,None,944000000,67747000000,7784000000,11549000000,176000000,None,12228000000,-5312000000,214000000,2163000000,-7174000000,867000000,4690000000,-18470000000,14329000000,-3390000000,4362000000,4362000000,None,2800000000,2800000000,None,241000000,None,None,-4121000000,None,7418000000,10000000,2016-10-20,0.76,0.68,0.08,11.7647,post-market
2016-06-30,USD,12635000000,20614000000,7979000000,18676000000,3080000000,5299000000,3146000000,9814000000,274000000,-345000000,None,345000000,-98000000,-39000000,None,238000000,5494000000,2372000000,345000000,3080000000,6817000000,5839000000,6077000000,3122000000,193468000000,139660000000,6510000000,113240000000,2251000000,18277000000,54034000000,18356000000,19800000000,21605000000,3733000000,17872000000,123646000000,10431000000,106730000000,5892000000,3416000000,121471000000,59357000000,6898000000,None,12904000000,12904000000,74140000000,None,40600000000,0,40557000000,53504000000,5949000000,13640000000,83090000000,None,2282000000,68178000000,7808000000,-8796000000,1186000000,None,20662000000,5236000000,5138000000,2655000000,6076000000,-192000000,3080000000,-10073000000,971000000,6714000000,3677000000,3677000000,None,2821000000,2821000000,None,173000000,None,None,-3504000000,None,-660000000,-22000000,2016-07-19,0.69,0.58,0.11,18.9655,post-market
2016-03-31,USD,12809000000,20531000000,7722000000,3801000000,5283000000,4546000000,2980000000,7775000000,230000000,-340000000,None,340000000,-173000000,-49000000,None,249000000,5036000000,1280000000,340000000,3756000000,3823000000,5376000000,5625000000,3756000000,181869000000,128421000000,7170000000,105552000000,2450000000,12247000000,53448000000,16831000000,18885000000,22407000000,4459000000,17948000000,116842000000,11315000000,98382000000,6598000000,2895000000,107063000000,44354000000,6759000000,25893000000,5498000000,5498000000,62709000000,None,40900000000,0,40896000000,46398000000,5887000000,14122000000,74806000000,None,4954000000,68012000000,7870000000,17939000000,-170000000,None,13910000000,-2116000000,249000000,2308000000,-2288000000,-241000000,3756000000,-5483000000,-4916000000,2622000000,3857000000,3857000000,None,2842000000,2842000000,None,159000000,None,None,-3698000000,None,-15000000,17000000,2016-04-21,0.62,0.64,-0.02,-3.125,post-market
2015-12-31,USD,13924000000,23796000000,9872000000,6268000000,6026000000,4998000000,2900000000,8147000000,200000000,-309000000,None,309000000,-154000000,-14000000,None,249000000,5855000000,837000000,309000000,4998000000,5053000000,6164000000,6413000000,5018000000,180098000000,127812000000,7185000000,102640000000,2702000000,14507000000,52286000000,15789000000,18008000000,22055000000,4619000000,17436000000,114129000000,11514000000,95455000000,6345000000,2928000000,103318000000,42643000000,6936000000,25031000000,3750000000,3000000000,72975000000,None,41400000000,750000000,40679000000,44400000000,6447000000,13700000000,76780000000,None,7030000000,68279000000,7925000000,9211000000,20000000,None,13414000000,2870000000,249000000,2024000000,3118000000,-1104000000,4998000000,-3328000000,-498000000,-7031000000,3678000000,3678000000,None,2868000000,2868000000,None,117000000,None,None,-3561000000,None,1754000000,-18000000,2016-01-28,0.78,0.71,0.07,9.8592,post-market
2015-09-30,USD,13172000000,20379000000,7207000000,4035000000,5793000000,4417000000,2962000000,7621000000,199000000,-249000000,None,249000000,-139000000,-93000000,None,242000000,5513000000,611000000,249000000,4620000000,4118000000,5762000000,6004000000,4902000000,172896000000,121656000000,5431000000,99355000000,3816000000,11444000000,51240000000,15046000000,18009000000,21887000000,4745000000,17142000000,110793000000,11438000000,93924000000,5594000000,2869000000,95451000000,49399000000,6630000000,24387000000,10748000000,9998000000,57952000000,None,28600000000,750000000,27819000000,38598000000,6207000000,13280000000,77445000000,None,7896000000,68093000000,7986000000,15022000000,421000000,None,8148000000,-5154000000,242000000,1356000000,-6376000000,937000000,4620000000,-5066000000,-3648000000,4890000000,4757000000,4757000000,None,2475000000,2475000000,None,219000000,None,None,-4538000000,None,-164000000,-44000000,2015-10-22,0.67,0.59,0.08,13.5593,post-market
2015-06-30,USD,14712000000,22180000000,7468000000,7468000000,-2053000000,5233000000,3094000000,16765000000,198000000,-247000000,None,247000000,191000000,4000000,None,200000000,-1756000000,1439000000,247000000,14712000000,-4144000000,-1509000000,-1309000000,-3195000000,174472000000,122797000000,5595000000,96526000000,2902000000,17908000000,48676000000,14731000000,17606000000,21774000000,4835000000,16939000000,108579000000,12053000000,90931000000,5461000000,3117000000,94389000000,49647000000,6591000000,25318000000,7484000000,4985000000,59826000000,None,30300000000,2499000000,27808000000,35285000000,6555000000,13544000000,80083000000,None,9096000000,68465000000,8027000000,14712000000,736000000,None,18140000000,5260000000,4300000000,1781000000,5448000000,429000000,14712000000,-5067000000,-3571000000,3259000000,4279000000,4279000000,None,2496000000,2496000000,None,151000000,None,None,-4128000000,None,-1819000000,3000000,2015-07-21,0.6,0.56,0.04,7.1429,post-market
2015-03-31,USD,14568000000,21729000000,7161000000,7161000000,6594000000,4800000000,2984000000,7974000000,160000000,-211000000,None,211000000,-168000000,-27000000,None,361000000,6517000000,1532000000,211000000,4985000000,5073000000,6728000000,7089000000,4985000000,176683000000,118398000000,7414000000,95438000000,2469000000,12427000000,58285000000,14375000000,16839000000,28691000000,6963000000,21728000000,107457000000,12019000000,88024000000,6376000000,3200000000,86551000000,40748000000,6690000000,20198000000,4224000000,1725000000,57603000000,None,30100000000,2499000000,27644000000,31800000000,6846000000,13274000000,90132000000,None,18186000000,68475000000,8113000000,16817000000,31000000,None,10465000000,-3006000000,361000000,1391000000,-3655000000,430000000,4985000000,-5481000000,-3065000000,-6575000000,5131000000,5131000000,None,2532000000,2532000000,None,146000000,None,None,-4985000000,None,988000000,-36000000,2015-04-23,0.61,0.51,0.1,19.6078,post-market
2014-12-31,USD,16334000000,26470000000,10136000000,10136000000,7776000000,5412000000,2903000000,8558000000,183000000,-162000000,None,162000000,6000000,-209000000,None,329000000,7850000000,1987000000,162000000,5863000000,5489000000,8012000000,8341000000,5863000000,174848000000,116362000000,6426000000,90249000000,2053000000,16186000000,58486000000,13607000000,16192000000,29154000000,7299000000,21855000000,102914000000,12665000000,83823000000,6173000000,3060000000,82969000000,47415000000,6932000000,21243000000,10048000000,8299000000,46854000000,None,20000000000,1749000000,18260000000,28300000000,6623000000,12423000000,91879000000,None,19731000000,68765000000,8218000000,6413000000,22000000,None,10002000000,2297000000,329000000,1490000000,3378000000,-1070000000,5863000000,-4716000000,534000000,4798000000,2145000000,2145000000,None,2547000000,2547000000,None,121000000,None,None,-2024000000,None,124000000,-34000000,2015-01-26,0.75,0.71,0.04,5.6338,post-market
2014-09-30,USD,14928000000,23201000000,8273000000,8273000000,5844000000,4879000000,3065000000,7944000000,225000000,-161000000,None,161000000,-267000000,-35000000,None,372000000,5896000000,1356000000,161000000,4540000000,4589000000,6057000000,6429000000,4540000000,169656000000,112439000000,6302000000,89193000000,3141000000,12887000000,57217000000,13229000000,15373000000,26774000000,6693000000,20081000000,103136000000,13943000000,82891000000,5434000000,3271000000,79486000000,44694000000,6769000000,22538000000,5248000000,3500000000,45492000000,None,20200000000,1748000000,18472000000,23700000000,7130000000,11781000000,90170000000,None,18051000000,68362000000,8255000000,14610000000,672000000,None,6386000000,-6143000000,372000000,1282000000,-6627000000,483000000,4540000000,-7737000000,-2978000000,2999000000,2888000000,2888000000,None,2307000000,2307000000,None,216000000,None,None,-2672000000,None,-2367000000,-6000000,2014-10-23,0.54,0.49,0.05,10.2041,post-market
2014-06-30,USD,15749000000,23382000000,7633000000,7595000000,6482000000,6055000000,3123000000,9267000000,265000000,-169000000,None,169000000,-222000000,-66000000,None,347000000,6577000000,1965000000,169000000,15787000000,4988000000,6746000000,7093000000,4612000000,172384000000,114246000000,8669000000,85709000000,2660000000,19544000000,55410000000,13011000000,14793000000,27108000000,6981000000,20127000000,100811000000,14597000000,77040000000,4392000000,3422000000,82600000000,45625000000,7432000000,25158000000,2000000000,2000000000,47485000000,None,20600000000,0,20645000000,22600000000,6906000000,11594000000,89784000000,None,17710000000,68366000000,8239000000,15787000000,533000000,None,19928000000,5439000000,3747000000,1330000000,5363000000,199000000,15787000000,-8910000000,-3309000000,500000000,1170000000,1170000000,None,2309000000,2309000000,None,146000000,None,None,-1024000000,None,-2903000000,-198000000,2014-07-22,0.55,0.6,-0.05,-8.3333,pre-market
2014-03-31,USD,14425000000,20403000000,5978000000,5978000000,6974000000,4745000000,2743000000,7451000000,220000000,-175000000,None,175000000,-28000000,-72000000,None,170000000,6957000000,1297000000,175000000,5660000000,5715000000,7132000000,7302000000,5660000000,156119000000,109006000000,11572000000,88425000000,1920000000,13497000000,47113000000,11771000000,14441000000,17652000000,2901000000,14751000000,103199000000,14792000000,76853000000,3740000000,2898000000,68695000000,33903000000,4583000000,19512000000,2000000000,0,44192000000,None,22700000000,2000000000,20679000000,22700000000,4275000000,9953000000,87424000000,None,16289000000,67803000000,8260000000,10099000000,22000000,None,10529000000,-2444000000,170000000,1192000000,-2501000000,324000000,5660000000,-4284000000,-4304000000,0,1845000000,1845000000,None,2322000000,2322000000,None,141000000,None,None,-1704000000,None,1513000000,2000000,2014-04-24,0.68,0.63,0.05,7.9365,pre-market
